Match Id,Match Number,Group Number,Team A,Team B,Innings,Over,Runs,Main Message,Complete Commentary
1415718,18,C,West Indies,Uganda,2,11.6,W,"Alzarri Joseph to Nsubuga, OUT","there it is, a whopping 134-run victory for the West Indies! And this is also the joint-lowest team total in the men's T20 World Cup! Length ball in and around off stump. Nips back in a shade with the angle and beats Nsubuga for pace, who anyway had a half-hearted poke at it. Top of off stump is rattled, and that sums up what has been a terrific bowling performance!"
1415718,18,C,West Indies,Uganda,2,11.5,1,"Alzarri Joseph to Miyagi,  1 run",speared in full on middle and leg. Miyagi is squared up and the ball trickles off the leading edge towards deep cover point
1415718,18,C,West Indies,Uganda,2,11.4,2,"Alzarri Joseph to Miyagi,  2 runs",shortish just outside off. Miyagi gets on top of the bounce and punches it towards deep point. Puts on his skates thereafter and picks up two
1415718,18,C,West Indies,Uganda,2,11.3,1lb,"Alzarri Joseph to Nsubuga, 1 leg bye","hard length, angling into the batter outside leg. Nsubuga is late on his stroke and the ball rolls away off the thigh pad towards point"
1415718,18,C,West Indies,Uganda,2,11.2,•,"Alzarri Joseph to Nsubuga, no run",short outside off. Nsubuga watches it go through to the keeper
1415718,18,C,West Indies,Uganda,2,11.1,1,"Alzarri Joseph to Miyagi,  1 run",angled in on a length on middle and leg. Miyagi pushes it past the bowler and is happy to run the single. Motie did hit the stumps from mid on but Miyagi had made his ground by then
1415718,18,C,West Indies,Uganda,2,10.6,W,"Motie to Kyewuta, OUT","another big appeal, and another batter falls to the arm-ball! This has been WI's biggest bowling weapon tonight. The ball starts just outside off before coming in with the angle. Kyewuta does not get a big enough stride and does not pick the variation either. Plays all over it and the ball clips the flap of the back leg right in front of middle stump. Kumar Dharmasena raises his finger, and Kyewuta does not bother with the review!"
1415718,18,C,West Indies,Uganda,2,10.5,1,"Motie to Miyagi,  1 run","nearly! Tossed up on a length outside off. Miyagi reaches out for it and jabs it uppishly, just past the diving Powell at short extra cover"
1415718,18,C,West Indies,Uganda,2,10.4,•,"Motie to Miyagi, no run",full on middle and leg. Flicked straight to short mid wicket
1415718,18,C,West Indies,Uganda,2,10.3,•,"Motie to Miyagi, no run",full on middle and leg. Miyagi has a slog at it and jams it off the inside edge into his pads
1415718,18,C,West Indies,Uganda,2,10.2,•,"Motie to Miyagi, no run",floated up full on middle and leg. Miyagi presses forward and defends
1415718,18,C,West Indies,Uganda,2,10.1,2,"Motie to Miyagi,  2 runs",slanted in full on the stumps. Miyagi stabs it past mid wicket and has enough time to get back for two
1415718,18,C,West Indies,Uganda,2,9.6,1,"Shepherd to Miyagi,  1 run",length outside off. Miyagi gets forward and punches it to deep cover point
1415718,18,C,West Indies,Uganda,2,9.5,•,"Shepherd to Miyagi, no run",shortish outside off. Miyagi wafts at it and only grabs a handful of fresh air
1415718,18,C,West Indies,Uganda,2,9.4,1,"Shepherd to Kyewuta,  1 run",length on middle and off. Kyewuta comes half forward and pokes it past extra cover for a single
1415718,18,C,West Indies,Uganda,2,9.3,•,"Shepherd to Kyewuta, no run",dug into the track just outside off. Kyewuta picks up the length early enough and sways out of the way
1415718,18,C,West Indies,Uganda,2,9.2,1,"Shepherd to Miyagi,  1 run",back of a length outside off. Miyagi dabs it down to third man
1415718,18,C,West Indies,Uganda,2,9.1,•,"Shepherd to Miyagi, no run",back of a length just outside off. Miyagi continues swinging like a rusty gate and is lucky his off stump is not pegged back
1415718,18,C,West Indies,Uganda,2,8.6,•,"Motie to Kyewuta, no run",fired in full on off. Kyewuta pokes at it and chunks it off the inside edge into his pads
1415718,18,C,West Indies,Uganda,2,8.5,1,"Motie to Miyagi,  1 run",fuller on middle and leg. Miyagi clears his front leg and drags it towards deep square leg
1415718,18,C,West Indies,Uganda,2,8.4,•,"Motie to Miyagi, no run",back of a length outside off. Miyagi goes back and defends
1415718,18,C,West Indies,Uganda,2,8.3,2,"Motie to Miyagi,  2 runs",back of a length outside off. Miyagi opens his bat face and dabs it behind point for a couple of runs
