Match Id,Match Number,Group Number,Team A,Team B,Innings,Over,Runs,Main Message,Complete Commentary
1415718,18,C,West Indies,Uganda,1,19.6,1b,"Kyewuta to Russell, 1 bye","just a bye to end the innings! Gets the wide yorker right and Russell cannot make contact. Perhaps a little late in jamming his bat down, and WI have to settle for a bye off the last ball"
1415718,18,C,West Indies,Uganda,1,19.5,4,"Kyewuta to Russell, FOUR runs","four more! Russell has that wide yorker line figured out now. This falls short of a yorker and Russell, flashing hard at it, slices it over short third!"
1415718,18,C,West Indies,Uganda,1,19.4,4,"Kyewuta to Russell, FOUR runs","flies away to the fence! In the slot outside off. Russell almost swings himself off his feet and while he does not middle it, the outside edge hurtles away past the keeper!"
1415718,18,C,West Indies,Uganda,1,19.4,1w,"Kyewuta to Russell, 1 wide","full and wide outside off again. Too wide, in fact. Beyond the tramlines and some more exercise for the umpire"
1415718,18,C,West Indies,Uganda,1,19.3,4,"Kyewuta to Russell, FOUR runs",four more! Full and wide outside off. The width allows Russell to throw the kitchen sink at it and flay it over backward point!
1415718,18,C,West Indies,Uganda,1,19.2,•,"Kyewuta to Russell, no run",superb yorker on middle and off. Russell cannot do anything worthwhile with it and blocks it back to the bowler
1415718,18,C,West Indies,Uganda,1,19.1,4,"Kyewuta to Russell, FOUR runs","Russell finds the fence! Goes for the wide yorker but misses by a smidgen on the shorter side. Russell, sitting deep in his crease, can get under it and blasts it past deep cover point!"
1415718,18,C,West Indies,Uganda,1,18.6,1,"Miyagi to Russell,  1 run",pin-point yorker on off. Russell can only drag it towards deep mid wicket
1415718,18,C,West Indies,Uganda,1,18.5,1,"Miyagi to Shepherd,  1 run",perfectly-executed yorker on leg stump. Shepherd digs it out towards long on
1415718,18,C,West Indies,Uganda,1,18.4,•,"Miyagi to Shepherd, no run",low full toss wide outside off. Shepherd reaches it but cannot beat the fielder at backward point
